Imperfective	Perfective
обтрясать	обтрясти
перетрясать	перетрясти
отрясать	отрясти
потрясать	потрясти
протрясать	протрясти
сотрясать	сотрясти
стрясать	стрясти
растрясать	растрясти
оттрясать	оттрясти
утрясать	утрясти
вытрясать	вытрясти
сползаться	сползтись
расползаться	расползтись
отверзаться	отверзтись
заходиться	зайтись
находиться	найтись
приходиться	прийтись
обходиться	обойтись
расходиться	разойтись
прохаживаться	пройтись
сходиться	сойтись
запасаться	запастись
напасаться	напастись
припасаться	припастись
спасаться	спастись
разрастаться	разрастись
срастаться	срастись
заводиться	завестись
обзаводиться	обзавестись
переводиться	перевестись
разводиться	развестись
взводиться	взвестись
изводиться	известись
воспроизводиться	воспроизвестись
приводиться	привестись
доводиться	довестись
сводиться	свестись
выводиться	вывестись
заплетаться	заплестись
вплетаться	вплестись
переплетаться	переплестись
приплетаться	приплестись
доплетаться	доплестись
сплетаться	сплестись
расплетаться	расплестись
отплетаться	отплестись
выплетаться	выплестись
выметаться	выместись
заноситься	занестись
вноситься	внестись
подноситься	поднестись
переноситься	перенестись
разноситься	разнестись
взноситься	взнестись
возноситься	вознестись
превозноситься	превознестись
приноситься	принестись
доноситься	донестись
проноситься	пронестись
сноситься	снестись
относиться	отнестись
уноситься	унестись
выноситься	вынестись
разбредаться	разбрестись
сбредаться	сбрестись
подгребаться	подгрестись
пригребаться	пригрестись
огребаться	огрестись
сгребаться	сгрестись
отгребаться	отгрестись
выгребаться	выгрестись
доскребываться	доскрестись
отрясаться	отрястись
потрясаться	потрястись
сотрясаться	сотрястись
стрясаться	стрястись
растрясаться	растрястись
утрясаться	утрястись
вытрясаться	вытрястись
дохлебывать	дохлебать
схлебывать	схлебать
расхлебывать	расхлебать
отхлебывать	отхлебать
выхлебывать	выхлебать
расхлябывать	расхлябать
нажевывать	нажевать
обжевывать	обжевать
намежевывать	намежевать
обмежевывать	обмежевать
перемежевывать	перемежевать
размежевывать	размежевать
примежевывать	примежевать
отмежевывать	отмежевать
вымежевывать	вымежевать
пережевывать	пережевать
разжевывать	разжевать
изжевывать	изжевать
дожевывать	дожевать
прожевывать	прожевать
сжевывать	сжевать
отжевывать	отжевать
раскряжевывать	раскряжевать
прозевывать	прозевать
замалевывать	замалевать
намалевывать	намалевать
подмалевывать	подмалевать
перемалевывать	перемалевать
размалевывать	размалевать
